Step,u_k_x,u_k_y,u_k_theta,x,y,theta,relative_X,relative_Y,relative_Theta,Obs_dist,Obs_tetha,Covariance_X,Covariance_Y,Covariance_Theta,Covariance_dis,Covariance_angle
0,0.1580,0.5352,0.1979,-0.2018,-0.2376,1.4717,-0.2018,-0.2376,-0.2018,4.2311,-0.2378,-0.6199,0.5421,0.1024,0.7929,-0.3323
1,1.4608,0.1033,0.1667,-0.4132,1.4380,1.7839,-0.2114,1.6756,-0.2114,3.4624,-0.7845,0.1821,0.4257,-0.0233,0.1768,-0.0163
2,0.0754,0.4930,0.1946,-0.3145,1.5046,2.0166,0.0987,0.0665,0.0987,3.1252,-1.1595,-0.3921,-0.3516,0.1067,-0.4970,0.0418
3,1.1324,0.4186,0.0591,-1.0640,2.9310,2.1070,-0.7495,1.4264,-0.7495,2.5083,-1.7606,0.2307,0.3102,-0.0833,0.1554,-0.1079
4,1.4281,1.3008,0.1742,-2.8582,3.7270,2.2442,-1.7942,0.7961,-1.7942,5.0106,-2.1299,0.4118,0.2094,-0.0382,-0.0700,-0.0544
5,0.1793,1.8772,0.1613,-4.5816,2.4367,2.4177,-1.7234,-1.2903,-1.7234,3.6256,-0.7662,-0.0313,0.0421,-0.0805,0.1064,-0.0188
6,1.6630,1.7790,0.0463,-6.8346,1.9693,2.4297,-2.2530,-0.4674,-2.2530,4.2207,-1.4471,-0.0133,0.3842,-0.1556,0.1177,0.1374
7,0.9317,0.2723,0.1212,-7.5436,2.3014,2.6003,-0.7090,0.3321,-0.7090,4.0570,-1.7365,0.2713,0.4506,0.0065,0.1285,0.0387
8,0.4092,0.4375,0.0105,-7.9755,2.5124,2.6231,-0.4319,0.2111,-0.4319,4.7072,-1.7544,-0.0763,0.4255,-0.1024,-0.0605,-0.0128
9,1.3587,1.1867,0.1108,-9.9801,2.4579,2.8008,-2.0047,-0.0545,-2.0047,4.6844,-0.2058,-0.1465,-0.0229,-0.0265,-0.3809,-0.0127
10,0.5638,0.4656,0.1018,-10.9593,2.3651,2.9246,-0.9791,-0.0929,-0.9791,4.8674,-1.2749,0.2043,-0.3152,0.0097,0.1155,-0.0743
11,0.4959,1.9892,0.1059,-11.6307,0.1908,2.8996,-0.6714,-2.1743,-0.6714,3.8513,-5.6180,-0.2407,-0.2306,0.0323,-0.5276,-0.1419
12,0.2830,0.7707,0.1828,-12.2633,-0.3331,3.0039,-0.6326,-0.5239,-0.6326,3.6139,-5.9330,-0.0201,-0.5112,-0.1682,-0.2340,0.0855
13,1.3391,0.4729,0.1187,-13.3334,-0.4977,3.0638,-1.0701,-0.1646,-1.0701,2.2107,-5.5011,-0.0500,0.1318,-0.1284,-0.3270,-0.0462
14,0.1471,1.9895,0.0577,-13.6418,-2.1569,-2.9554,-0.3084,-1.6593,-0.3084,1.9973,5.9441,-0.1268,-0.0608,-0.0107,-0.4725,-0.0074
15,0.1022,1.8405,0.0792,-13.0913,-4.8733,-2.8533,0.5505,-2.7163,0.5505,3.8914,5.2141,0.4968,-0.0927,0.0286,-0.1195,0.1137
16,1.7268,0.2107,0.0402,-14.3479,-4.5191,-2.8538,-1.2566,0.3542,-1.2566,2.8132,4.6990,-0.0929,-0.3787,0.0119,0.1960,-0.1008
17,0.5620,1.1532,0.1833,-14.4412,-5.5823,-2.4556,-0.0933,-1.0632,-0.0933,4.7802,4.4897,0.2046,-0.2941,-0.1973,0.3113,0.0169
18,1.0459,1.5178,0.1690,-13.9518,-7.4818,-2.3428,0.4894,-1.8995,0.4894,1.0014,2.2799,0.3233,0.0993,-0.0254,-0.1198,0.0664
19,0.4636,0.5384,0.0048,-14.3809,-8.3596,-2.3867,-0.4291,-0.8778,-0.4291,1.8418,2.7756,0.1878,-0.3953,-0.1884,0.0832,0.1722
20,0.7297,1.0231,0.1882,-14.3748,-9.5658,-2.0716,0.0061,-1.2062,0.0061,2.2198,3.0097,0.5499,0.0764,-0.0036,-0.5321,0.0311
21,1.8687,1.0636,0.0551,-14.5615,-11.7502,-2.1191,-0.1867,-2.1845,-0.1867,4.7085,3.2581,-0.5018,-0.1503,0.1468,0.0701,0.0198
22,0.8636,0.3993,0.1064,-14.5726,-12.3652,-1.9336,-0.0111,-0.6150,-0.0111,3.6490,0.2446,-0.5754,0.1168,0.0340,-0.1066,0.1517
23,1.7038,0.6444,0.0174,-14.4646,-14.4984,-2.0274,0.1080,-2.1332,0.1080,5.0134,2.3065,0.3533,0.3054,-0.0382,0.2468,-0.0061
24,0.3774,1.2283,0.1344,-13.6165,-15.2598,-2.1560,0.8481,-0.7614,0.8481,4.5628,2.4906,0.7341,0.0237,0.0952,0.3897,-0.0657
25,0.0251,0.4889,0.0737,-13.0203,-14.8333,-2.0080,0.5962,0.4265,0.5962,2.9880,2.1563,-0.2776,0.0791,0.0570,-0.3071,0.0118
26,1.1731,1.8625,0.1980,-11.5042,-16.6694,-1.9932,1.5161,-1.8362,1.5161,3.4775,3.0346,-0.3111,-0.1917,-0.1564,0.2587,-0.0474
27,0.2718,1.5573,0.0759,-10.3241,-18.2237,-1.9459,1.1800,-1.5542,1.1800,4.2453,3.4441,-0.0887,-0.1705,-0.0401,-0.8356,0.1121
28,0.0849,0.3693,0.0686,-10.2719,-19.0739,-1.7139,0.0522,-0.8503,0.0522,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,1.7697,0.2813,0.0917,-9.8302,-20.7285,-1.5790,0.4416,-1.6546,0.4416,4.8159,0.4909,0.2468,-0.1292,-0.0268,0.0128,-0.1180
30,0.1093,1.4164,0.0082,-8.4058,-21.1322,-1.6033,1.4244,-0.4037,1.4244,3.9165,1.0665,-0.0924,0.0709,-0.0686,0.1550,0.0939
31,1.3634,0.5554,0.0907,-7.5802,-22.4865,-1.4548,0.8257,-1.3543,0.8257,3.4884,0.9906,-0.2617,0.5595,-0.0720,-0.1394,-0.1400
32,0.7179,0.9584,0.1115,-5.9953,-22.8889,-1.3100,1.5849,-0.4025,1.5849,1.6044,0.7191,-0.2025,-0.0213,0.1228,-0.7928,-0.0223
33,0.6683,1.8037,0.1481,-3.8546,-23.1689,-1.1989,2.1407,-0.2800,2.1407,0.8283,-1.0779,0.2239,0.1849,0.1028,0.2557,-0.0575
34,0.4350,0.9825,0.1616,-2.5557,-23.1456,-1.0008,1.2989,0.0233,1.2989,2.4989,-1.8179,0.7838,-0.4005,-0.0337,-0.2976,0.1071
35,1.7652,1.3396,0.0970,-0.1832,-23.7916,-0.9863,2.3725,-0.6460,2.3725,3.8354,-2.1681,0.2714,0.1300,0.1601,0.3435,0.0393
36,1.1735,1.3811,0.1602,1.3672,-23.7370,-0.7779,1.5504,0.0546,1.5504,3.6870,2.7412,0.2235,0.1994,-0.1698,-0.2234,-0.0611
37,0.3122,1.2345,0.1063,1.7815,-23.2180,-0.7905,0.4143,0.5190,0.4143,3.6812,3.2552,-0.1521,-0.1051,0.1907,-0.0886,-0.0405
38,0.9535,0.7866,0.0513,2.8248,-23.1814,-0.7414,1.0432,0.0366,1.0432,4.1404,3.2844,0.3931,0.1098,0.0463,-0.2308,-0.0589
39,1.0394,0.7500,0.0568,4.4348,-23.4468,-0.6619,1.6100,-0.2655,1.6100,3.0016,2.9054,0.0419,0.2602,-0.0845,0.0221,0.0466
40,0.0213,0.3073,0.1371,4.9046,-23.0220,-0.5609,0.4698,0.4249,0.4698,3.8047,3.0559,-0.0469,-0.0809,0.0777,0.0857,0.0325
41,0.5884,0.2593,0.1931,5.2047,-23.0178,-0.3792,0.3001,0.0042,0.3001,4.1115,-0.5009,-0.4167,0.0352,-0.0432,-0.1595,0.0107
42,0.3095,1.5647,0.1199,5.9000,-22.0528,-0.2728,0.6953,0.9650,0.6953,4.1238,3.2086,0.2282,0.0287,-0.1405,-0.2148,0.1056
43,1.4498,1.6300,0.1492,7.8188,-21.2868,-0.1347,1.9188,0.7660,1.9188,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
44,1.6970,1.5947,0.0319,9.9011,-19.7642,-0.0685,2.0824,1.5226,2.0824,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
