Step,u_k_x,u_k_y,u_k_theta,x,y,theta,relative_X,relative_Y,relative_Theta,Obs_dist,Obs_tetha,Covariance_X,Covariance_Y,Covariance_Theta,Covariance_dis,Covariance_angle
0,0.8996,1.1299,0.1414,-0.9931,-0.9618,3.1326,-0.9931,-0.9618,-0.9931,2.1218,-4.6467,0.1493,-0.2762,0.0815,-0.7285,-0.1664
1,1.7645,1.4844,0.0782,-2.7770,-2.3948,-3.0278,-1.7839,-1.4331,-1.7839,2.0136,2.5158,-0.3214,-0.3659,-0.0315,0.3230,-0.1208
2,1.9571,1.6021,0.1704,-4.5905,-4.1349,-2.8275,-1.8135,-1.7401,-1.8135,3.6458,3.1809,-0.0667,-0.1693,0.0680,-0.2794,-0.1108
3,1.1000,1.8261,0.1212,-5.0647,-6.1116,-2.7184,-0.4742,-1.9766,-0.4742,4.8363,1.4350,0.6865,-0.3739,-0.0472,-0.4826,-0.0491
4,0.3658,0.4446,0.0830,-5.1111,-6.6758,-2.6376,-0.0464,-0.5642,-0.0464,4.3246,1.4681,0.1637,0.4905,-0.0293,-0.1177,0.0513
5,0.7028,0.8471,0.1654,-5.3276,-7.8688,-2.5174,-0.2164,-1.1930,-0.2164,3.3033,1.5644,0.3382,0.0198,-0.1384,0.0034,-0.1352
6,0.0844,1.4367,0.0595,-4.6032,-9.0233,-2.4014,0.7244,-1.1545,0.7244,4.4115,2.2426,0.3419,-0.2066,-0.0523,-0.3946,-0.0325
7,1.0347,1.6778,0.1684,-4.3018,-11.0029,-2.3282,0.3014,-1.9796,0.3014,4.3621,2.6114,-0.3519,-0.0090,0.0710,0.6629,-0.1901
8,0.3648,0.8085,0.1595,-3.9257,-11.8660,-2.1553,0.3761,-0.8630,0.3761,4.2533,2.6559,0.1967,0.1887,-0.1446,0.9213,-0.1512
9,1.5578,1.5427,0.1000,-3.5134,-14.0956,-2.1039,0.4124,-2.2297,0.4124,3.7833,-0.9540,-0.2682,0.0669,-0.0848,-0.2091,0.0551
10,0.8972,0.1640,0.0097,-3.8955,-15.0261,-2.0625,-0.3822,-0.9304,-0.3822,3.4496,5.1672,0.0828,0.1513,-0.0558,0.0373,0.0031
11,1.7676,0.4348,0.1508,-4.3682,-16.7875,-1.9064,-0.4727,-1.7615,-0.4727,3.5982,4.4408,-0.1878,-0.0862,-0.1085,0.6561,0.0893
12,0.4085,0.8694,0.0627,-3.6583,-17.5654,-1.7767,0.7099,-0.7779,0.7099,4.5125,4.2383,-0.1349,0.1117,-0.1809,-0.1361,0.0194
13,0.1265,1.6770,0.1330,-1.9613,-18.0087,-1.7167,1.6971,-0.4433,1.6971,2.7742,0.4484,0.3015,0.1094,0.0185,-0.3649,-0.0068
14,0.7713,1.4533,0.0106,-0.5583,-18.9629,-1.6072,1.4029,-0.9542,1.4029,1.5529,-0.1827,-0.2673,0.0029,-0.0492,0.3166,0.0543
15,0.9234,0.2326,0.0647,-0.4404,-19.9451,-1.5374,0.1179,-0.9821,0.1179,0.6953,-0.6316,0.1963,0.1036,-0.0484,0.3450,0.0499
16,0.4965,0.9607,0.0341,0.4884,-20.4608,-1.5119,0.9289,-0.5158,0.9289,1.4106,-1.5381,-0.2126,0.0153,-0.0434,-0.2413,0.0240
17,1.1315,0.7202,0.0539,1.2318,-21.4682,-1.3794,0.7434,-1.0074,0.7434,2.2926,4.1918,-0.2127,-0.3753,-0.0543,-0.4438,-0.1275
18,0.9601,1.3497,0.0396,2.7739,-22.1495,-1.3298,1.5421,-0.6813,1.5421,3.9893,4.1204,0.3289,0.3912,0.0429,0.1742,0.3262
19,1.0186,0.2456,0.0917,3.2764,-23.0688,-1.1877,0.5025,-0.9193,0.5025,4.7832,3.7555,-0.0512,-0.3243,-0.1064,-0.0572,-0.0589
20,1.1341,0.7393,0.1191,4.4432,-23.8562,-1.1372,1.1667,-0.7873,1.1667,4.9088,0.6179,0.1071,0.0712,-0.0842,-0.1861,-0.0241
21,0.1608,0.5534,0.0278,4.9782,-23.8834,-1.0651,0.5351,-0.0272,0.5351,4.4375,0.3773,0.1286,0.1706,0.0215,-0.7909,0.1257
22,1.0452,0.7566,0.1316,6.1923,-24.4791,-0.9391,1.2141,-0.5957,1.2141,3.1606,0.3291,0.7501,-0.2078,-0.0177,-0.0099,0.0487
23,1.4278,1.8193,0.0775,8.5661,-24.5267,-0.8574,2.3738,-0.0475,2.3738,3.9845,-0.1509,-0.3396,0.2641,0.0031,0.4896,-0.0032
