Step,u_k_x,u_k_y,u_k_theta,relative_X,relative_Y,relative_Theta,Obs_dist,Obs_tetha,Covariance_X,Covariance_Y,Covariance_Theta,Covariance_dis,Covariance_angle
0,0.0503,0.6173,-0.0873,-0.3231,0.4883,0.0102,4.7433,0.1031,0.1467,0.4351,-0.0673,0.1836,-0.0554
1,-0.3114,-0.6392,-0.0969,0.0341,-1.4876,-0.1824,2.6221,0.9585,0.4205,0.3915,-0.0032,0.6037,0.0452
2,0.4734,-0.1871,0.0228,0.1536,-0.1291,-0.0738,2.9044,1.2239,0.0842,0.3257,0.0277,0.5478,0.1514
3,-0.0281,0.3528,0.0586,0.1383,0.5989,0.1335,2.1434,1.2164,0.2688,-0.0320,0.0271,0.0159,0.1837
4,-0.5866,-0.1931,0.0973,-0.4678,-0.8027,0.2889,3.3409,0.6754,-0.0368,0.3085,0.0308,-0.5236,-0.0201
5,-0.8879,-0.9853,0.0928,0.1393,-0.5386,-0.0338,3.6024,0.9489,-0.1991,-0.1619,-0.0300,-0.3748,0.0819
6,0.9889,-0.1525,0.0596,0.3972,0.8537,0.0413,3.0793,0.6777,-0.5151,0.7998,0.0063,0.7480,0.0981
7,0.1994,-0.7286,0.0224,0.6986,-0.6730,0.0504,3.8355,1.0243,0.3041,0.3239,0.1553,0.1093,-0.0635
8,0.7815,0.9064,0.0784,-0.3313,1.3810,-0.0237,4.9156,0.2578,-0.1249,0.0155,-0.1199,0.2905,0.0469
9,0.0409,0.9768,-0.0718,-0.7417,0.5325,-0.0964,4.8808,-0.0575,-0.0548,-0.1968,-0.0779,-0.1814,0.0389
10,-0.3525,-0.0963,0.0990,-0.3427,-0.5129,0.1520,2.3253,0.5451,0.2280,-0.1153,-0.1774,0.0131,-0.0211
11,-0.3190,-0.7320,-0.0202,-0.0224,-0.3782,-0.1078,2.1168,0.8141,0.0115,0.4859,0.1540,-0.3288,-0.0621
12,0.4824,0.1647,0.0387,-0.3976,0.0509,0.0697,1.9692,0.5349,-0.5171,0.4261,-0.0392,-0.1318,-0.0229
13,-0.1914,-0.4277,-0.0996,0.6339,-0.5700,-0.3297,3.2816,0.8263,-0.0688,-0.3146,-0.1489,-0.7002,-0.0552
14,-0.4521,-0.8460,0.0559,0.3592,-0.9927,0.0711,3.7715,0.9881,0.3444,-0.4725,-0.0147,0.3948,0.1529
15,-0.6740,0.8355,0.0007,-1.2290,-0.1642,-0.0983,4.2851,0.7967,0.0195,0.1551,-0.0111,0.3508,-0.1356
16,0.0536,0.4378,-0.0941,-0.5568,0.0623,-0.3283,4.0423,0.9351,-0.3326,-0.2012,0.0559,-0.0523,0.0825
17,0.4279,0.1205,0.0288,-0.0704,-0.3312,-0.0050,4.3249,1.0545,0.1386,-0.0426,0.1099,-0.2293,0.0208
18,-0.0721,-0.6382,0.0288,0.5542,-0.6230,-0.0089,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,0.5631,-0.1970,-0.0480,0.8521,0.1847,-0.1664,4.8033,1.5079,-0.0383,0.3385,-0.0951,-0.2914,0.0133
20,-0.2245,-0.4593,-0.0160,0.0713,-0.5565,0.0347,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,-0.6815,0.1099,0.0696,-0.7072,0.8438,-0.0068,4.7491,1.2988,0.1218,-0.1685,0.0457,-0.4022,-0.1452
22,-0.0446,-0.2844,-0.0687,-0.1947,-0.0168,-0.0480,4.5503,1.3426,0.1527,-0.3651,0.0631,-0.1136,-0.0382
23,0.9162,0.8701,-0.0411,0.6760,1.2396,-0.1211,2.9179,1.4919,0.0399,-0.1102,0.0887,-0.2686,-0.0326
24,-0.3497,0.5744,0.0785,0.0219,1.1258,0.1894,1.9393,1.3420,-0.2668,0.3739,0.0591,-0.0860,0.1808
25,0.4544,-0.2676,0.0452,0.0791,-0.0514,0.1662,2.5332,1.2628,0.0617,-0.1732,-0.0210,-0.0252,-0.1474
26,0.3641,-0.3742,-0.0135,0.1991,-0.5401,-0.0469,2.7602,1.2613,0.3805,-0.2724,-0.0609,0.0025,-0.0104
27,-0.8723,0.9409,0.0460,-1.0885,0.3266,0.1247,3.1241,0.8962,-0.2320,-0.0639,-0.0317,-0.1272,0.0478
