Pose Index,X,Y,Rotation (Degrees)
0,-1.6976952e-05,3.5868397e-05,0.010795967
1,0.9937288,0.002441363,0.47574937
2,1.9833363,0.014176565,0.3863757
3,2.989117,0.026289346,0.848482
4,3.9813857,0.042703617,0.81756157
5,3.98196,0.03898926,91.07456
6,3.957883,1.0557508,90.439
7,3.9633808,2.047765,90.25462
8,3.9495819,3.0483444,90.55743
9,3.9249415,4.051656,91.002106
10,3.9318755,4.0584054,-178.91216
11,2.9285247,4.0274477,-178.95442
12,1.926035,4.0110016,-178.98889
13,0.9284704,3.9964242,-178.87811
14,-0.06215347,3.9740922,-179.75142
15,-0.0572889,3.9725962,-89.572266
16,-0.03967063,2.9691753,-89.53932
17,-0.029481303,1.9819181,-89.34347
18,-0.01880263,0.97145194,-88.9382
19,-0.0077186157,-0.001612571,-89.586365
20,0.0011200426,0.0017636865,0.21874957
21,1.0085768,0.011097123,-0.4321613
22,1.9976238,0.0015826884,-0.48993698
23,3.0314481,-0.0073648295,-1.5330361
24,4.0292034,-0.036740657,-0.7043757
25,4.0448475,-0.044452146,89.50823
26,4.06183,0.96843064,89.8909
27,4.0905485,1.977531,90.21445
28,4.0898714,2.9795003,89.9863
29,4.075384,3.976282,90.886635
30,4.065933,3.981142,-179.28104
31,3.0655773,3.9746377,179.60544
32,2.0669081,3.9939592,179.22636
33,1.0840862,3.9868252,179.23558
34,0.08607494,4.014994,178.15167
35,0.10236371,4.018923,-92.481926
36,0.04887332,3.016094,-91.1818
37,0.030684177,2.0084205,-90.24225
38,0.011661711,1.0069436,-90.16634
39,-0.0020037007,-0.011155843,-89.68338
40,-0.00085774064,-0.0012370406,-0.094778486
41,0.9993059,0.002200414,0.08169754
42,1.998295,0.0049050692,0.6046982
43,2.999582,0.015964333,0.18192557
44,3.9830182,0.012283048,0.31586495
45,3.980358,0.0030385184,89.749855
46,3.9790936,1.0111632,89.63737
47,3.9777424,2.0148356,88.9241
48,3.9883912,2.9998205,88.126945
49,4.0296364,4.015511,87.33443
