Pose Index,X,Y,Rotation (Degrees)
0,-0.0020965545,0.002306861,0.92263985
1,0.99211645,0.0126866,-0.1573538
2,2.0004225,0.0001935481,-0.981355
3,3.0036573,-0.026988655,-1.6410972
4,4.0018387,-0.06593984,-2.1356413
5,4.0108337,-0.07707732,87.44806
6,4.0786905,0.92799336,86.96191
7,4.1273313,1.9058943,86.972206
8,4.1638675,2.885109,87.93834
9,4.183745,3.8704424,87.675186
10,4.2152033,3.884994,177.53471
11,3.2292533,3.9209113,177.70045
12,2.2356381,3.9517796,177.66844
13,1.2435709,3.982386,177.27821
14,0.25391313,4.0187855,176.56526
15,0.26244268,4.0090694,-93.8834
16,0.2008622,2.996115,-94.55991
17,0.12810276,1.9854045,-95.94996
18,0.029436154,0.9769078,-98.03354
19,-0.106616706,-0.002523246,-100.93942
20,0.00011568637,-0.002058892,0.49663574
21,1.0107826,-0.0117913345,-1.444215
22,2.021573,-0.050207235,-2.5336962
23,3.0286863,-0.10769046,-2.9880939
24,4.0343604,-0.17773385,-2.8726363
25,4.045006,-0.1812654,87.51156
26,4.093059,0.79727155,88.069626
27,4.123495,1.7696104,89.24912
28,4.1215577,2.7458913,91.14051
29,4.1307783,3.6851547,88.79698
30,4.2356477,3.7726696,174.72331
31,3.2775724,3.8581753,175.70859
32,2.2886784,3.9204178,176.28354
33,1.2988552,3.9714851,176.27817
34,0.31372848,4.0223536,175.61867
35,0.32635477,4.011454,-94.52581
36,0.25408694,2.9968612,-95.23017
37,0.17356035,1.9813678,-96.879395
38,0.06064289,0.9711188,-99.670845
39,-0.09752748,0.0051765284,-103.83298
40,-0.012699415,0.015034476,3.8093688
41,0.89933443,-0.027955923,3.638799
42,1.9014238,0.02812959,3.586672
43,2.8984022,0.086737804,3.2776318
44,3.8958402,0.14612083,3.3653598
45,3.902794,0.14142948,93.88903
46,3.8489084,1.1285427,95.16172
47,3.7591975,2.1063757,95.43248
48,3.642062,3.087941,95.43411
49,3.7508872,4.0176053,93.56752
