Step,u_k_x,u_k_y,u_k_theta,relative_X,relative_Y,relative_Theta,Obs_dist,Obs_tetha,Covariance_X,Covariance_Y,Covariance_Theta,Covariance_dis,Covariance_angle
0,-0.7590,-0.3221,-0.0454,0.6831,-0.3984,-0.0192,4.5267,-1.2637,-0.3908,-0.2318,0.0812,-0.2088,-0.0206
1,-0.8467,0.3681,0.0142,0.3119,-0.8300,-0.0410,3.3282,-0.2724,0.0772,-0.3646,-0.2730,-0.0249,-0.1318
2,0.6138,0.4247,-0.0055,-0.6971,0.1905,-0.0962,3.0099,-0.4204,-0.3081,-0.5229,0.0320,-0.1238,0.0475
3,-0.8284,-0.0439,-0.0830,0.4162,-0.6892,-0.0884,3.7780,-0.2507,0.8822,0.0072,0.0646,0.0493,-0.1238
4,-0.2627,0.5697,-0.0167,-0.3537,-0.4940,-0.0940,4.0120,-0.1849,-0.0479,-0.4572,-0.0384,-0.3182,0.0147
5,-0.4123,-0.7284,0.0645,0.8172,-0.0119,0.0743,4.3002,-0.0742,0.5310,-0.2903,0.0284,-0.1202,0.0781
6,0.3915,-0.3129,0.0265,0.0027,0.5413,-0.0487,3.7926,-0.0237,0.1738,0.5470,0.0478,-0.1456,-0.0098
7,-0.1754,-0.2596,-0.0437,0.3812,-0.0777,-0.0969,4.1308,0.2600,0.1865,0.4015,0.0920,-0.3938,0.1500
8,-0.2495,0.7058,-0.0501,-0.5744,-0.5370,-0.1108,4.4109,0.0694,0.3968,0.4806,0.0368,0.2515,0.1007
9,-0.6279,0.1542,-0.0181,-0.0579,-0.7387,0.0260,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,-0.2646,-0.1793,0.0425,0.1791,-0.2482,0.0052,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,0.9400,-0.7926,0.0415,0.6311,1.0481,-0.0314,4.6590,0.2546,0.3660,-0.0967,0.0695,0.0943,-0.1298
12,-0.9732,0.9563,0.0686,-0.6460,-1.1322,-0.0154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,-0.0216,-0.8502,-0.0074,0.8265,0.2409,0.0427,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,0.6767,0.2627,0.0630,-0.3781,0.6273,0.1289,4.6905,0.0167,0.4251,0.2177,0.0091,0.3417,-0.0976
15,-0.1954,-0.7706,-0.0317,0.6927,0.1203,-0.1146,4.9083,0.2135,-0.3434,-0.3032,-0.0015,-0.0167,-0.1696
16,0.9306,0.8212,-0.0096,-1.0444,0.6437,-0.0199,3.8588,0.1486,-0.0541,-0.3788,0.2595,0.2802,0.0431
17,-0.3992,-0.3651,0.0965,0.4304,-0.3822,0.1221,4.5054,0.0218,-0.3215,0.1743,0.0019,-0.4383,-0.1606
18,-0.8992,0.0671,-0.0580,0.3054,-0.8248,-0.0729,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,0.0093,-0.5211,0.0685,0.4403,0.1838,0.0505,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,-0.8073,-0.1748,-0.0213,0.3549,-0.6873,-0.0956,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,-0.6853,0.3556,-0.0074,-0.1914,-0.7432,0.0801,4.4726,-3.7442,0.3085,0.0829,0.0528,0.6784,0.0090
22,0.9341,0.8240,0.0575,-0.9945,0.6008,0.1573,4.8856,-3.6388,0.1954,0.2975,-0.1046,0.0459,-0.2415
23,0.6969,0.4168,0.0882,-0.7146,0.5097,-0.0101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,-0.4552,0.1171,-0.0263,0.0645,-0.4669,0.0571,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,-0.5396,0.0392,-0.0323,0.2078,-0.5434,0.0507,4.3555,-3.6298,-0.0706,-0.3585,0.0263,-0.3286,0.0472
26,0.1362,-0.6113,0.0732,0.4679,0.4622,0.1523,5.0142,-3.9502,-0.3891,0.0136,0.0845,0.0563,0.0370
27,0.3348,0.8473,-0.0546,-0.8270,-0.3762,-0.1324,4.6148,-3.7504,0.2927,0.2134,0.0219,-0.0691,-0.0682
28,-0.4466,-0.9991,-0.0946,0.9558,0.2193,-0.1376,4.8507,-3.6864,-0.3190,-0.1846,-0.0635,0.3007,-0.1057
29,0.5298,-0.1410,0.0882,-0.2145,0.5604,0.0223,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30,0.8778,-0.5123,-0.0214,-0.0296,0.9572,0.0318,4.5651,-0.0874,-0.0022,0.4996,0.0286,-0.3911,0.1052
31,-0.9696,0.7123,0.0823,-0.1423,-1.2426,0.0749,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
32,0.7377,0.8916,0.0567,-1.1090,0.0250,0.0120,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
33,0.5432,0.7044,0.0564,-0.8696,0.1418,0.1382,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34,0.3956,-0.4239,0.0158,-0.0385,0.5389,-0.0606,4.5043,-0.7659,0.1158,-0.3108,0.1076,-0.0914,0.0901
35,0.6995,0.7511,-0.0405,-1.0223,0.1784,-0.0642,4.5644,-0.8124,0.4495,-0.1509,0.2524,0.2753,-0.0220
36,-0.5732,0.4451,-0.0950,-0.0493,-0.7062,-0.0823,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
37,0.7017,-0.0098,-0.0354,-0.3338,0.6557,0.0412,4.6567,-0.9193,0.0783,0.6753,0.2151,0.0389,0.2031
38,-0.9120,-0.4916,0.0645,1.0144,-0.4676,0.0841,5.0099,-0.8851,0.3225,-0.4973,0.0512,-0.2585,0.0716
39,-0.2578,-0.3394,-0.0036,0.4265,-0.0300,0.0668,4.9440,-0.6862,0.1260,0.2818,-0.0548,0.2927,-0.1616
40,-0.5312,-0.3412,0.0641,0.6586,-0.1280,0.1114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
41,0.5469,0.3499,0.0610,-0.6420,0.1520,-0.0200,4.8773,-0.9217,0.0875,-0.0352,0.0362,0.1935,-0.0601
42,-0.9507,0.9132,-0.0193,0.0791,-1.3113,0.0366,4.3729,-3.5511,0.0746,-0.0172,0.0484,-0.0126,-0.1504
43,0.3459,-0.6030,-0.0331,0.0939,0.7155,-0.1111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
44,0.3205,0.3345,-0.0549,-0.4265,0.0288,0.0098,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
45,0.7814,0.7344,0.0450,-1.0666,0.0540,0.0312,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
46,0.5431,-0.5391,0.0176,0.0641,0.7302,-0.0246,4.8884,-1.0985,0.2064,0.3810,-0.0666,-0.1156,0.1012
47,-0.6227,0.9845,0.0524,-0.1709,-1.1074,-0.0128,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
48,0.2843,0.1557,0.0896,-0.3293,0.0599,0.1157,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
49,-0.9193,-0.9731,0.0001,1.2294,0.1861,0.0909,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
50,0.8587,0.5341,0.0218,-0.9305,0.0277,0.1114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
51,-0.8166,-0.3169,-0.0263,0.8573,-0.0541,0.0682,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
52,0.9564,0.5383,-0.0110,-1.0449,-0.0269,-0.0821,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
53,-0.6971,-0.5080,0.0969,0.8609,0.0220,0.0949,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
54,-0.5139,-0.3770,-0.0082,0.6447,0.2259,-0.0270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
55,-0.1970,-0.2288,-0.0194,0.1878,0.0980,-0.0136,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
56,0.5860,-0.5686,0.0975,-0.2347,0.8300,0.0600,4.5218,-1.1862,-0.3135,-0.7206,0.0511,-0.6349,0.1940
57,-0.6589,-0.2052,0.0580,0.6654,0.0292,0.0842,4.4010,-1.2820,0.4768,-0.3103,0.1021,0.4851,-0.0043
58,0.6877,-0.4776,0.0455,-0.4249,0.7407,-0.0157,3.7656,-1.2923,0.1466,-0.5601,-0.1013,0.2600,0.0206
59,0.0149,0.5956,0.0307,-0.1786,-0.5596,0.0900,4.2635,-1.3686,0.2093,0.1036,-0.1103,0.3454,-0.0007
60,-0.5738,0.2598,-0.0818,0.5031,-0.4557,-0.1128,4.7553,-1.1470,-0.1517,0.6672,0.0319,0.1197,-0.0487
61,-0.1258,0.1703,-0.0196,0.0920,-0.1444,-0.0130,4.7651,-1.0781,-0.1885,-0.1844,0.0860,-0.0025,0.0353
62,0.0715,-0.8015,-0.0733,0.2908,0.7567,0.0011,4.1428,-1.0544,-0.4812,-0.6990,0.1870,0.0988,0.0640
63,0.3591,0.4762,-0.0780,-0.5689,-0.3694,-0.0643,4.4885,-1.1330,-0.4138,-0.3788,0.0100,0.1998,0.0467
64,-0.1564,0.1089,-0.0100,0.1996,-0.1209,-0.0807,4.6208,-0.9658,-0.4215,0.1404,-0.1012,0.2240,-0.0517
65,-0.0095,-0.6789,-0.0654,0.3354,0.4795,-0.1599,4.1122,-0.7999,0.0039,-0.2696,-0.0758,-0.5098,0.0624
66,-0.8515,0.4889,0.0538,0.4056,-0.9208,0.0937,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
67,-0.5388,0.9894,-0.0645,-0.1371,-1.0643,-0.0196,4.2695,-3.9058,-0.4193,-0.0495,-0.0995,0.0499,0.0927
68,-0.2278,-0.2575,-0.0954,0.2948,0.0288,-0.0260,4.3265,-4.0693,0.1959,-0.0151,0.1339,0.1397,0.2644
69,0.7936,-0.3213,-0.0942,-0.5501,0.7453,-0.0660,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
70,-0.2127,0.6449,-0.0883,-0.1486,-0.6546,-0.0172,4.6024,-3.6980,0.1942,0.0019,-0.0805,-0.0721,0.0156
71,0.1670,0.4125,0.0191,-0.4277,-0.1381,0.0746,4.5537,-3.8170,-0.8434,0.0808,-0.0383,0.0144,0.1025
72,0.9811,-0.3943,0.0224,-0.6465,0.8762,0.0211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
73,0.2590,0.3840,0.0527,-0.4749,-0.1370,-0.0134,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
74,0.9027,0.5634,0.0476,-1.0520,0.0533,-0.0221,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
75,-0.1728,-0.0861,0.0834,0.1291,-0.1014,0.0924,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
76,-0.1365,0.9827,-0.0817,-0.3829,-0.8586,0.0057,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
77,0.3979,0.7831,0.0266,-0.7719,-0.5505,0.0382,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
78,-0.4378,-0.3084,-0.0918,0.6261,0.1215,-0.0272,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
79,0.8976,0.9582,-0.0465,-1.3156,-0.3647,-0.1364,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
80,-0.1454,-0.9812,0.0945,0.7352,0.7059,0.0494,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
81,0.6000,-0.7366,0.0477,-0.0352,0.9834,0.0507,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
82,0.4094,-0.3522,-0.0703,-0.0959,0.4876,0.0223,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
83,-0.3329,0.2117,0.0277,0.2709,-0.3179,0.1269,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
84,0.4240,0.6129,-0.0583,-0.6529,-0.4435,0.0253,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
85,-0.5950,0.0294,0.0145,0.5629,-0.2188,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
86,0.7620,0.5361,-0.0699,-0.9239,-0.2606,-0.1648,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
87,0.6914,0.1574,-0.0379,-0.7068,0.2766,-0.0446,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
88,-0.3221,-0.1409,0.0336,0.2995,0.0093,0.0682,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
89,0.1248,-0.0136,-0.0026,-0.0001,0.1268,-0.0750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
90,0.1163,-0.9934,0.0911,0.3682,0.8480,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
91,-0.6639,-0.5082,-0.0048,0.8008,0.0952,0.0277,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
92,0.5115,0.5114,0.0121,-0.7003,-0.1471,-0.0617,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
93,-0.5069,0.3896,0.0049,0.2260,-0.6691,-0.0236,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
94,0.2266,0.9525,0.0757,-0.7709,-0.4984,0.0573,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
95,-0.7211,-0.6823,-0.0698,0.9536,0.0535,-0.1623,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
96,-0.2976,0.9546,0.0800,-0.4253,-0.7821,0.1762,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
97,0.6605,0.9522,0.0801,-1.0486,-0.4827,0.0941,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
98,0.0642,0.7318,-0.0161,-0.3751,-0.5682,0.0621,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
99,-0.3851,0.1617,0.0798,0.2296,-0.1877,0.0963,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,-0.3914,0.0550,0.0005,0.4399,-0.1480,-0.0097,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
101,0.7930,-0.2785,0.0009,-0.6954,0.5092,0.0638,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
102,0.8877,0.7991,-0.0539,-1.0461,-0.5132,-0.0086,4.3024,-5.4084,0.0799,-0.0941,0.0861,0.2868,-0.0273
103,-0.1419,0.8208,-0.0484,-0.0231,-0.9081,-0.0750,3.8532,-5.5254,0.6365,-0.2544,-0.1123,0.3626,0.0838
104,0.8605,-0.9910,-0.0017,-0.4615,1.2579,0.0596,4.2079,-5.2022,-0.1677,-0.2341,0.2084,-0.5948,0.0994
105,0.8622,-0.6855,-0.0223,-0.5382,0.9717,0.0388,4.7141,-5.0485,0.0356,0.1093,0.0482,-0.2922,0.0630
106,0.8513,-0.3137,0.0131,-0.6705,0.5446,0.0026,4.6935,-4.9390,0.1897,-0.2139,0.0550,-0.4707,0.0296
